sid,週期溢價,未平倉市值_百萬,買方OI張,賣方OI張,有資料天數,名稱,溢價排名,倉位排名,打擊名單,高溢價無倉,ADV20張,空方cover,多方cover,空方名單,多方名單
6116,-0.004776792253028899,-91,6150.0,12466.0,3,彩晶,,,False,False,28487.27145,0.4376,0.2159,False,False
1795,-0.0050381915104470995,-19,108.0,398.0,3,美時,,,False,False,814.9961500000001,0.4883,0.1325,False,False
6488,-0.005945036928078604,-1157,1246.8,4988.9,3,環球晶,,,False,False,8843.02595,0.5642,0.141,False,False
2231,-0.006361919730111233,-1,10.0,298.0,3,為升,,,False,False,169.68965,1.7561,0.0589,False,False
3552,-0.006500427985391649,-1,34.0,46.0,2,同致,,,False,False,353.9328,0.13,0.0961,False,False
6669,-0.006661498568527556,-4999,2326.1,3128.5,3,緯穎,,,False,False,3979.2418,0.7862,0.5846,False,True
2331,-0.006925544178542399,-6,330.0,562.0,3,精英,,,False,False,1147.1978000000001,0.4899,0.2877,False,False
3078,-0.007216787995777066,-12,254.0,82.0,3,僑威,,,False,False,902.1534499999999,0.0909,0.2815,False,False
3532,-0.007999512453686533,-334,764.0,2712.0,3,台勝科,,,False,False,8156.987099999999,0.3325,0.0937,False,False
6173,-0.048799369393055826,0,0.0,8122.0,3,信昌電,,,False,False,19928.834899999998,0.4076,0.0,False,False
